index,card_id,card_name,card_number,set_id,set_name,binder_name,page_number,slot_number,card_market_value
111,base1-1,Alakazam,1,base1,Base,1,1,1,54.13
112,base1-2,Blastoise,2,base1,Base,1,1,2,159.26
113,base1-3,Chansey,3,base1,Base,1,1,3,28.48
114,base1-4,Charizard,4,base1,Base,1,1,4,458.29
115,base1-5,Clefairy,5,base1,Base,1,1,5,26.05
116,base1-6,Gyarados,6,base1,Base,1,1,6,34.98
117,base1-7,Hitmonchan,7,base1,Base,1,1,7,18.55
118,base1-8,Machamp,8,base1,Base,1,1,8,0.0
119,base1-9,Magneton,9,base1,Base,1,1,9,20.24
121,base1-10,Mewtwo,10,base1,Base,1,2,1,38.91
122,base1-11,Nidoking,11,base1,Base,1,2,2,28.8
123,base1-12,Ninetales,12,base1,Base,1,2,3,22.93
124,base1-13,Poliwrath,13,base1,Base,1,2,4,20.44
125,base1-14,Raichu,14,base1,Base,1,2,5,43.69
126,base1-15,Venusaur,15,base1,Base,1,2,6,119.17
127,base1-16,Zapdos,16,base1,Base,1,2,7,36.66
128,base1-17,Beedrill,17,base1,Base,1,2,8,3.97
129,base1-18,Dragonair,18,base1,Base,1,2,9,13.13
131,base1-19,Dugtrio,19,base1,Base,1,3,1,6.74
132,base1-20,Electabuzz,20,base1,Base,1,3,2,7.43
133,base1-21,Electrode,21,base1,Base,1,3,3,6.86
134,base1-22,Pidgeotto,22,base1,Base,1,3,4,9.42
135,base1-23,Arcanine,23,base1,Base,1,3,5,3.0
136,base1-24,Charmeleon,24,base1,Base,1,3,6,1.81
137,base1-25,Dewgong,25,base1,Base,1,3,7,2.22
138,base1-26,Dratini,26,base1,Base,1,3,8,1.66
139,base1-27,Farfetch'd,27,base1,Base,1,3,9,0.93
141,base1-28,Growlithe,28,base1,Base,1,4,1,0.81
142,base1-29,Haunter,29,base1,Base,1,4,2,1.36
143,base1-30,Ivysaur,30,base1,Base,1,4,3,2.19
144,base1-31,Jynx,31,base1,Base,1,4,4,0.65
145,base1-32,Kadabra,32,base1,Base,1,4,5,1.29
146,base1-33,Kakuna,33,base1,Base,1,4,6,1.0
147,base1-34,Machoke,34,base1,Base,1,4,7,0.65
148,base1-35,Magikarp,35,base1,Base,1,4,8,1.95
149,base1-36,Magmar,36,base1,Base,1,4,9,2.65
151,base1-37,Nidorino,37,base1,Base,1,5,1,1.78
152,base1-38,Poliwhirl,38,base1,Base,1,5,2,1.29
153,base1-39,Porygon,39,base1,Base,1,5,3,2.15
154,base1-40,Raticate,40,base1,Base,1,5,4,2.06
155,base1-41,Seel,41,base1,Base,1,5,5,1.07
156,base1-42,Wartortle,42,base1,Base,1,5,6,2.47
157,base1-43,Abra,43,base1,Base,1,5,7,0.58
158,base1-44,Bulbasaur,44,base1,Base,1,5,8,1.68
159,base1-45,Caterpie,45,base1,Base,1,5,9,0.82
161,base1-46,Charmander,46,base1,Base,1,6,1,1.67
162,base1-47,Diglett,47,base1,Base,1,6,2,0.42
163,base1-48,Doduo,48,base1,Base,1,6,3,0.92
164,base1-49,Drowzee,49,base1,Base,1,6,4,0.42
165,base1-50,Gastly,50,base1,Base,1,6,5,0.56
166,base1-51,Koffing,51,base1,Base,1,6,6,0.42
167,base1-52,Machop,52,base1,Base,1,6,7,0.33
168,base1-53,Magnemite,53,base1,Base,1,6,8,0.5
169,base1-54,Metapod,54,base1,Base,1,6,9,0.71
171,base1-55,Nidoran ♂,55,base1,Base,1,7,1,0.68
172,base1-56,Onix,56,base1,Base,1,7,2,0.47
173,base1-57,Pidgey,57,base1,Base,1,7,3,0.67
174,base1-58,Pikachu,58,base1,Base,1,7,4,3.19
175,base1-59,Poliwag,59,base1,Base,1,7,5,0.41
176,base1-60,Ponyta,60,base1,Base,1,7,6,0.43
177,base1-61,Rattata,61,base1,Base,1,7,7,0.44
178,base1-62,Sandshrew,62,base1,Base,1,7,8,0.54
179,base1-63,Squirtle,63,base1,Base,1,7,9,2.8
181,base1-64,Starmie,64,base1,Base,1,8,1,0.45
182,base1-65,Staryu,65,base1,Base,1,8,2,0.36
183,base1-66,Tangela,66,base1,Base,1,8,3,0.48
184,base1-67,Voltorb,67,base1,Base,1,8,4,1.31
185,base1-68,Vulpix,68,base1,Base,1,8,5,0.53
186,base1-69,Weedle,69,base1,Base,1,8,6,0.39
187,base1-70,Clefairy Doll,70,base1,Base,1,8,7,5.34
188,base1-71,Computer Search,71,base1,Base,1,8,8,3.07
189,base1-72,Devolution Spray,72,base1,Base,1,8,9,4.6
191,base1-73,Impostor Professor Oak,73,base1,Base,1,9,1,5.49
192,base1-74,Item Finder,74,base1,Base,1,9,2,8.57
193,base1-75,Lass,75,base1,Base,1,9,3,2.37
194,base1-76,Pokémon Breeder,76,base1,Base,1,9,4,6.85
195,base1-77,Pokémon Trader,77,base1,Base,1,9,5,4.48
196,base1-78,Scoop Up,78,base1,Base,1,9,6,7.11
197,base1-79,Super Energy Removal,79,base1,Base,1,9,7,3.34
198,base1-80,Defender,80,base1,Base,1,9,8,1.28
199,base1-81,Energy Retrieval,81,base1,Base,1,9,9,0.61
1101,base1-82,Full Heal,82,base1,Base,1,10,1,1.37
1102,base1-83,Maintenance,83,base1,Base,1,10,2,2.11
1103,base1-84,PlusPower,84,base1,Base,1,10,3,0.57
1104,base1-85,Pokémon Center,85,base1,Base,1,10,4,1.6
1105,base1-86,Pokémon Flute,86,base1,Base,1,10,5,2.41
1106,base1-87,Pokédex,87,base1,Base,1,10,6,0.44
1107,base1-88,Professor Oak,88,base1,Base,1,10,7,1.08
1108,base1-89,Revive,89,base1,Base,1,10,8,2.17
1109,base1-90,Super Potion,90,base1,Base,1,10,9,0.29
1111,base1-91,Bill,91,base1,Base,1,11,1,0.33
1112,base1-92,Energy Removal,92,base1,Base,1,11,2,0.37
1113,base1-93,Gust of Wind,93,base1,Base,1,11,3,0.23
1114,base1-94,Potion,94,base1,Base,1,11,4,0.2
1115,base1-95,Switch,95,base1,Base,1,11,5,0.3
1116,base1-96,Double Colorless Energy,96,base1,Base,1,11,6,5.78
1117,base1-97,Fighting Energy,97,base1,Base,1,11,7,0.31
1118,base1-98,Fire Energy,98,base1,Base,1,11,8,0.32
1119,base1-99,Grass Energy,99,base1,Base,1,11,9,0.28
1121,base1-100,Lightning Energy,100,base1,Base,1,12,1,0.3
